cycle_id,0,1
0,9,18
1,18,9
2,27,36
3,36,27
4,45,54
5,54,45
6,63,72
7,72,63
8,81,90
9,90,81
10,117,126
11,126,117
12,135,144
13,144,135
14,153,162
15,162,153
16,171,180
17,180,171
18,207,216
19,216,207
20,225,234
21,234,225
22,243,252
23,252,243
24,261,270
25,270,261
26,315,324
27,324,315
28,333,342
29,342,333
30,351,360
31,360,351
32,405,414
33,414,405
34,423,432
35,432,423
36,441,450
37,450,441
38,513,522
39,522,513
40,531,540
41,540,531
42,603,612
43,612,603
44,621,630
45,630,621
46,711,720
47,720,711
48,801,810
49,810,801
50,1026,1017
